company_id,type,rule_id,text,confidence_pct
ABB,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
ABB,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
ABB,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
ABB,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
ABB,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
ABB,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
ABB,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
ABB,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
ABB,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
ADANIENSOL,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
ADANIENSOL,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,65
ADANIENSOL,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
ADANIENSOL,Con,C01,Return on equity below 10% indicates subpar profitability and capital allocation.,95
ADANIENSOL,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
ADANIENSOL,Con,C04,Declining earnings per share indicates falling profitability over time.,95
ADANIENSOL,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
ADANIENSOL,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
ADANIENT,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
ADANIENT,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
ADANIENT,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
ADANIENT,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
ADANIENT,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
ADANIENT,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
ADANIGREEN,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
ADANIGREEN,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
ADANIGREEN,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
ADANIGREEN,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
ADANIGREEN,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,80
ADANIGREEN,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
ADANIGREEN,Con,C08,Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,95
ADANIGREEN,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
ADANIGREEN,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
ADANIPORTS,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
