company_id,company_name,sector,previous_year,current_year,previous_pattern,current_pattern,status,reason
ABB,Abbott India Ltd,Industrials,FYMar 2024,FYMar 2024,Shareholder Returns,Capital Intensive,Changed,Allocation strategy shifted
ADANIENSOL,Adani Energy Solutions Ltd,Energy,FYMar 2023,FYMar 2024,Capital Intensive,Capital Intensive,No Change,Stable allocation strategy maintained
ADANIENT,Adani Enterprises Ltd,Industrials,FYMar 2023,FYMar 2024,Capital Intensive,Capital Intensive,No Change,Stable allocation strategy maintained
ADANIGREEN,Adani Green Energy Ltd,Energy,FYMar 2023,FYMar 2024,Capital Intensive,Capital Intensive,No Change,Stable allocation strategy maintained
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,FYMar 2024,FYMar 2024,Capital Intensive,Capital Intensive,No Change,Stable allocation strategy maintained
ADANIPOWER,Adani Power Ltd,Energy,FYMar 2023,FYMar 2024,Mixed Strategy,Cash Accumulator,Changed,Allocation strategy shifted
AMBUJACEM,Ambuja Cements Ltd,Materials,FYMar 2023,FYMar 2024,Balanced,Capital Intensive,Changed,Allocation strategy shifted
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,FYMar 2023,FYMar 2024,Shareholder Returns,Capital Intensive,Changed,Allocation strategy shifted
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,FYMar 2024,FYMar 2024,Shareholder Returns,Shareholder Returns,No Change,Consistent dividend and buyback policy
AXISBANK,Axis Bank Ltd,Financials,FYMar 2023,FYMar 2024,Capital Intensive,Distress,Changed,Allocation strategy shifted
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,FYMar 2024,FYMar 2024,Shareholder Returns,Shareholder Returns,No Change,Consistent dividend and buyback policy
BAJAJFINSV,Bajaj Finserv Ltd,Financials,FYMar 2023,FYMar 2024,Distress,Distress,No Change,Continued negative operating cash flow
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,FYMar 2023,FYMar 2024,Capital Intensive,Capital Intensive,No Change,Stable allocation strategy maintained
BAJFINANCE,Bajaj Finance Ltd,Financials,FYMar 2023,FYMar 2024,Distress,Distress,No Change,Continued negative operating cash flow
BANKBARODA,Bank of Baroda,Financials,FYMar 2023,FYMar 2024,Shareholder Returns,Distress,Changed,Allocation strategy shifted
BEL,Bharat Electronics Ltd,Industrials,FYMar 2023,FYMar 2024,Capital Intensive,Capital Intensive,No Change,Stable allocation strategy maintained
